Date,Sessions,Bounce rate,Active users,Average session duration,Total users
20240904,40,0.525,30,370.2972138,35
20240913,30,0.433333333,20,263.3904347,20
20240924,29,0.517241379,26,69.26300134,26
20240927,25,0.36,23,269.7685848,23
20240910,24,0.416666667,19,113.4681078,21
20241001,24,0.458333333,16,100.9262062,18
20240917,22,0.545454545,20,81.03393914,20
20240918,18,0.611111111,9,38.90433178,12
20240919,18,0.611111111,14,59.65086656,14
20240923,18,0.611111111,15,28.59247289,15
20241002,18,0.5,12,149.5380972,14
20240905,16,0.625,10,141.8760533,14
20240911,14,0.714285714,10,64.40974921,11
20240909,13,0.538461538,10,99.43907038,11
20240922,12,0.5,10,131.1389447,10
20240925,12,0.333333333,11,134.3354733,11
20240906,11,0.636363636,9,101.0253901,10
20240912,11,0.454545455,9,18.18896191,10
20240920,11,0.636363636,6,136.3109406,8
20240914,10,0.6,6,96.6954996,9
20240926,10,0.3,9,46.641499,9
20240930,10,0.3,9,53.1556582,10
20240928,9,0.444444444,8,179.839339,9
20240921,8,0.5,7,393.3622253,7
20240907,6,0.5,4,69.90841567,5
20240916,6,0.5,5,147.0647853,6
20240929,5,0.2,4,258.0568032,5
20241003,5,0.8,4,37.4991078,4
20240908,4,0.25,4,25.35655625,4
20240915,2,0.5,2,103.749147,2
